01980,2.6,1510.0,9.0,4.0
26530,4.9,1130.0,7.0,0.0
41791,3.8,630.0,4.0,2.0
92788,2.4,1080.0,1.0,0.0
26825,4.2,1350.0,1.0,5.0
96928,4.5,1570.0,3.0,7.0
91917,4.7,870.0,1.0,6.0
51986,4.2,1090.0,9.0,4.0
30894,4.5,830.0,7.0,1.0
64636,4.3,1040.0,3.0,2.0
55939,2.6,430.0,3.0,5.0
02002,3.7,1210.0,4.0,9.0
60298,4.9,1470.0,6.0,0.0
56749,1.7,1530.0,9.0,2.0
54653,4.6,1430.0,8.0,6.0
54685,3.9,1300.0,8.0,6.0
59304,4.1,1170.0,7.0,7.0
72880,4.1,1060.0,2.0,7.0
87664,2.7,1590.0,6.0,9.0
67192,4.3,1000.0,3.0,9.0
94506,1.6,1490.0,9.0,8.0
15091,4.7,1330.0,6.0,4.0
53862,4.4,1260.0,4.0,10.0
28885,3.1,1540.0,5.0,6.0
37718,4.0,800.0,6.0,9.0
91377,2.6,1080.0,10.0,4.0
74542,4.5,1410.0,5.0,6.0
64055,5.0,1550.0,2.0,6.0
73280,4.2,1530.0,10.0,3.0
55203,3.1,570.0,6.0,5.0
30109,4.7,1220.0,2.0,2.0
46328,3.1,930.0,7.0,4.0
15403,3.8,1130.0,5.0,0.0
09798,4.7,810.0,10.0,5.0
27887,4.9,1460.0,8.0,10.0
97859,3.7,1370.0,3.0,1.0
15492,3.2,730.0,10.0,0.0
13396,3.5,1440.0,8.0,5.0
07427,3.3,1430.0,7.0,7.0
04796,3.5,800.0,6.0,9.0
20447,4.6,1510.0,3.0,3.0
91277,4.7,980.0,5.0,4.0
71028,3.1,1600.0,3.0,7.0
69643,3.4,1390.0,3.0,7.0
41293,3.3,1540.0,8.0,2.0
21158,3.2,1310.0,6.0,4.0
91222,3.0,1200.0,8.0,8.0
08142,3.4,480.0,7.0,10.0
49563,4.2,1540.0,5.0,10.0
39331,3.2,1460.0,4.0,7.0
55516,4.2,550.0,9.0,9.0
11419,4.8,1150.0,6.0,2.0
81317,3.8,1510.0,2.0,0.0
61750,3.4,1470.0,5.0,2.0
20665,3.5,1410.0,3.0,5.0
16549,3.0,1260.0,7.0,3.0
15949,4.6,450.0,6.0,2.0
