01980,7.11
26530,7.44
41791,5.22
14462,4.04
92788,4.14
88283,5.23
26825,6.59
37759,5.21
96928,7.84
91917,6.19
51986,7.6
30894,6.66
64636,6.19
55939,3.99
02002,6.93
60298,7.88
56749,6.23
54653,8.56
46090,4.75
54685,7.76
59304,7.57
72880,6.37
87664,7.24
67192,6.81
94506,6.67
15091,7.85
53862,7.68
28885,6.97
37718,6.8
91377,6.51
74542,7.84
00990,5.48
79816,5.57
64055,7.91
73280,8.53
55203,5.25
30109,6.65
46328,6.02
86485,4.25
15403,6.16
09798,7.78
27887,9.26
97859,6.23
23020,3.77
15492,5.93
75747,4.92
13396,7.6
07427,7.42
04796,6.4
20447,7.41
78268,3.9
91277,7.0
71028,6.78
69643,6.63
91513,4.32
41293,7.33
21158,6.62
51567,5.92
74913,5.64
07882,2.59
91222,7.05
08142,6.02
87039,5.55
49563,8.25
44245,5.59
39331,6.8
55516,7.09
11419,7.4
10213,4.59
61078,5.82
95575,4.24
65040,5.59
81317,6.27
61750,6.68
73326,5.43
89089,5.37
20665,6.54
45966,5.26
50146,4.97
16549,6.46
15949,5.92
