01980,7.11
26530,7.44
26825,6.59
96928,7.84
91917,6.19
51986,7.6
30894,6.66
64636,6.19
02002,6.93
60298,7.88
56749,6.23
54653,8.56
54685,7.76
59304,7.57
72880,6.37
87664,7.24
67192,6.81
94506,6.67
15091,7.85
53862,7.68
28885,6.97
37718,6.8
91377,6.51
74542,7.84
64055,7.91
73280,8.53
30109,6.65
46328,6.02
15403,6.16
09798,7.78
27887,9.26
97859,6.23
13396,7.6
07427,7.42
04796,6.4
20447,7.41
91277,7.0
71028,6.78
69643,6.63
41293,7.33
21158,6.62
91222,7.05
08142,6.02
49563,8.25
39331,6.8
55516,7.09
11419,7.4
81317,6.27
61750,6.68
20665,6.54
16549,6.46
